 TIME                    	TAIR_PEG_V1              	TAIR_PEG_V2              	TAIR_PEG_V3              	TAIR_PEG_V4              	TAIR_PEG_V5              	TAIR_PEG_V6              	TAIR_PEG_V7              	
  +1.0900000000000000E+02	  +6.4778851184254577E+01	  +5.2287721963216448E+01	  +5.1667897707352431E+01	  +5.2651734974049859E+01	  +5.2651175117559902E+01	  +5.1643997452735071E+01	  +5.1593701034948147E+01	
  +1.1000000000000000E+02	  +6.5519881053403367E+01	  +5.2855631743901320E+01	  +5.2218384179393503E+01	  +5.3214546952349167E+01	  +5.3213952193004758E+01	  +5.2193412933290659E+01	  +5.2141918029392393E+01	
  +1.1100000000000000E+02	  +6.6256248593808792E+01	  +5.3422252568353571E+01	  +5.2767494354543189E+01	  +5.3775906001886426E+01	  +5.3775274791204673E+01	  +5.2741426434352718E+01	  +5.2688727521266777E+01	
  +1.1200000000000000E+02	  +6.7005114339294238E+01	  +5.3999554766450075E+01	  +5.3327075745173232E+01	  +5.4347785131565431E+01	  +5.4347115795599777E+01	  +5.3299879090036946E+01	  +5.3245960981915026E+01	
  +1.1300000000000000E+02	  +6.8465614322449980E+01	  +5.5078552974467037E+01	  +5.4388281265327223E+01	  +5.5421182621080746E+01	  +5.5420473558077894E+01	  +5.4359929638605372E+01	  +5.4304787301603277E+01	
  +1.1400000000000000E+02	  +6.9107238859524514E+01	  +5.5538913158960717E+01	  +5.4830609760777200E+01	  +5.5875800394824878E+01	  +5.5875049806424393E+01	  +5.4801069802693739E+01	  +5.4744685563241426E+01	
  +1.1500000000000000E+02	  +6.9503389813095069E+01	  +5.5877448139644549E+01	  +5.5150857358041335E+01	  +5.6208407812688591E+01	  +5.6207613818664235E+01	  +5.5120095501559184E+01	  +5.5062452536206763E+01	
  +1.1600000000000000E+02	  +7.0344257352829118E+01	  +5.6543292186364397E+01	  +5.5798257941552556E+01	  +5.6868107768841334E+01	  +5.6867268621794302E+01	  +5.5766246198020802E+01	  +5.5707337219219482E+01	
  +1.1700000000000000E+02	  +7.0950233176313191E+01	  +5.7027071990699547E+01	  +5.6263364940570206E+01	  +5.7345556043839693E+01	  +5.7344669881706636E+01	  +5.6230071295527004E+01	  +5.6169882071530289E+01	
  +1.1800000000000000E+02	  +7.1750684662563089E+01	  +5.7660356468794184E+01	  +5.6877826175908467E+01	  +5.7972335556554057E+01	  +5.7971400482405372E+01	  +5.6843220840834697E+01	  +5.6781741473506763E+01	
  +1.1900000000000000E+02	  +7.2433154492991832E+01	  +5.8200673866293705E+01	  +5.7399155469498531E+01	  +5.8506005043604645E+01	  +5.8505019109651485E+01	  +5.7363206700399786E+01	  +5.7300424340975468E+01	
