 TIME                    	QSENS_PEG_V1             	QSENS_PEG_V2             	QSENS_PEG_V3             	QSENS_PEG_V4             	QSENS_PEG_V5             	QSENS_PEG_V6             	QSENS_PEG_V7             	
  +6.5000000000000000E+01	  -1.6672105012938291E+03	  -1.2492131905517381E+03	  -1.2445498604534610E+03	  -1.2445225447028286E+03	  -1.2445226918119974E+03	  -1.2445227371487808E+03	  -1.2445227584391600E+03	
  +6.6000000000000000E+01	  -1.8351214577503138E+03	  -1.3946322199136064E+03	  -1.3899540166981487E+03	  -1.3899242167358395E+03	  -1.3899243523871462E+03	  -1.3899244013663338E+03	  -1.3899244244573306E+03	
  +6.7000000000000000E+01	  -1.9702242288047587E+03	  -1.5155636092589698E+03	  -1.5108518911318492E+03	  -1.5108196439029241E+03	  -1.5108197646678032E+03	  -1.5108198161752209E+03	  -1.5108198405211929E+03	
  +6.8000000000000000E+01	  -2.0479025108937365E+03	  -1.5838198308966942E+03	  -1.5790509910518376E+03	  -1.5790163519259620E+03	  -1.5790164571111079E+03	  -1.5790165113800938E+03	  -1.5790165371059084E+03	
  +6.9000000000000000E+01	  -2.1372044247757390E+03	  -1.6648185970529209E+03	  -1.6599715058182121E+03	  -1.6599345478755117E+03	  -1.6599346348754380E+03	  -1.6599346911409043E+03	  -1.6599347178709702E+03	
  +7.0000000000000000E+01	  -2.2230871695637875E+03	  -1.7428994540801561E+03	  -1.7379566019873753E+03	  -1.7379173983138980E+03	  -1.7379174660373517E+03	  -1.7379175242679012E+03	  -1.7379175519927060E+03	
  +7.1000000000000000E+01	  -2.2835859513406576E+03	  -1.7965363033778492E+03	  -1.7914844768915700E+03	  -1.7914430943280752E+03	  -1.7914431408344030E+03	  -1.7914432005441356E+03	  -1.7914432290298607E+03	
  +7.2000000000000000E+01	  -2.3556395863138346E+03	  -1.8618985849432847E+03	  -1.8567282578023101E+03	  -1.8566847573704767E+03	  -1.8566847823476908E+03	  -1.8566848438159213E+03	  -1.8566848732071796E+03	
  +7.3000000000000000E+01	  -2.3879615267522968E+03	  -1.8887729309439733E+03	  -1.8834774503895430E+03	  -1.8834318779756418E+03	  -1.8834318789235638E+03	  -1.8834319413054643E+03	  -1.8834319711917649E+03	
  +7.4000000000000000E+01	  -2.4541093334569887E+03	  -1.9491997816597604E+03	  -1.9437747161271470E+03	  -1.9437271124996773E+03	  -1.9437270902656774E+03	  -1.9437271543265369E+03	  -1.9437271850928128E+03	
  +7.5000000000000000E+01	  -2.5191582347503463E+03	  -2.0085638496665356E+03	  -2.0030064752127410E+03	  -2.0029568623702598E+03	  -2.0029568137270746E+03	  -2.0029568781750313E+03	  -2.0029569091894436E+03	
  +7.6000000000000000E+01	  -2.5452371086438961E+03	  -2.0301404618966524E+03	  -2.0244493161993021E+03	  -2.0243977134695238E+03	  -2.0243976383633569E+03	  -2.0243977034368468E+03	  -2.0243977348252233E+03	
  +7.7000000000000000E+01	  -2.6060967557087743E+03	  -2.0861269758281464E+03	  -2.0803015898030258E+03	  -2.0802480097047192E+03	  -2.0802479088367563E+03	  -2.0802479751082287E+03	  -2.0802480071598184E+03	
  +7.8000000000000000E+01	  -2.6514174204974793E+03	  -2.1269150968468398E+03	  -2.1209557542023026E+03	  -2.1209002003527244E+03	  -2.1209000729273957E+03	  -2.1209001401989799E+03	  -2.1209001728234593E+03	
  +7.9000000000000000E+01	  -2.6577209766280098E+03	  -2.1299293346052436E+03	  -2.1238369177704062E+03	  -2.1237793874006002E+03	  -2.1237792316899113E+03	  -2.1237792992765321E+03	  -2.1237793321437425E+03	
  +8.0000000000000000E+01	  -2.5957400352578647E+03	  -2.0710375064569243E+03	  -2.0648134280132240E+03	  -2.0647539147170787E+03	  -2.0647537284331202E+03	  -2.0647537953438359E+03	  -2.0647538279724454E+03	
  +8.1000000000000000E+01	  -2.2654885626348214E+03	  -1.7826622069618086E+03	  -1.7763083432864921E+03	  -1.7762468302077145E+03	  -1.7762466069968914E+03	  -1.7762466702176926E+03	  -1.7762467011265589E+03	
  +8.2000000000000000E+01	  -1.7269830093538051E+03	  -1.3368989824248258E+03	  -1.3304190455376122E+03	  -1.3303555278699637E+03	  -1.3303552685611694E+03	  -1.3303553286074155E+03	  -1.3303553580569974E+03	
  +8.3000000000000000E+01	  -1.1035878497869405E+03	  -8.3067594500149653E+02	  -8.2408075548798956E+02	  -8.2401520159333427E+02	  -8.2401489309498902E+02	  -8.2401494358505204E+02	  -8.2401496841958590E+02	
  +8.4000000000000000E+01	  -4.4920970918933216E+02	  -2.9452113577719496E+02	  -2.8783183686766830E+02	  -2.8776425163334005E+02	  -2.8776390025274895E+02	  -2.8776394439942692E+02	  -2.8776396622367071E+02	
  +8.5000000000000000E+01	  -1.5303489945908868E+02	  -2.8949197216718883E+01	  -2.2207289010353740E+01	  -2.2137712147300967E+01	  -2.2137329529753430E+01	  -2.2137373082146464E+01	  -2.2137394735427200E+01	
  +8.6000000000000000E+01	  -5.8399812993779150E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +8.7000000000000000E+01	  -2.0756611208357634E+02	  -7.4063780454471200E+01	  -7.1260726973366374E+01	  -7.1228348236176302E+01	  -7.1228148623570974E+01	  -7.1228170316939540E+01	  -7.1228181300978179E+01	
  +8.8000000000000000E+01	  -9.4233398200162708E+02	  -5.9119677953531846E+02	  -5.8341605044835785E+02	  -5.8332733045252542E+02	  -5.8332678994621244E+02	  -5.8332684734630186E+02	  -5.8332687634613512E+02	
  +8.9000000000000000E+01	  -1.3355765152993633E+03	  -9.0644903156427029E+02	  -8.9911795196581556E+02	  -8.9902965634203872E+02	  -8.9902909384538134E+02	  -8.9902914962753664E+02	  -8.9902917802890295E+02	
  +9.0000000000000000E+01	  -1.5222986850215461E+03	  -1.0574291702711048E+03	  -1.0503694095849953E+03	  -1.0502794146305739E+03	  -1.0502788151680390E+03	  -1.0502788702224398E+03	  -1.0502788984793376E+03	
  +9.1000000000000000E+01	  -1.6991248002517127E+03	  -1.2142680342021463E+03	  -1.2073926534935629E+03	  -1.2073004984503755E+03	  -1.2072998610808340E+03	  -1.2072999169418554E+03	  -1.2072999458180855E+03	
  +9.2000000000000000E+01	  -1.8444096259905857E+03	  -1.3459422621314836E+03	  -1.3391883033276238E+03	  -1.3390940862052314E+03	  -1.3390934113942646E+03	  -1.3390934681611739E+03	  -1.3390934977036598E+03	
  +9.3000000000000000E+01	  -1.9498866340396060E+03	  -1.4411565937368073E+03	  -1.4344734249002613E+03	  -1.4343774034247008E+03	  -1.4343766915263354E+03	  -1.4343767487513348E+03	  -1.4343767787363333E+03	
  +9.4000000000000000E+01	  -2.0248878621897813E+03	  -1.5080408204361320E+03	  -1.5013878163826405E+03	  -1.5012902652972862E+03	  -1.5012895166656867E+03	  -1.5012895739319706E+03	  -1.5012896041529166E+03	
  +9.5000000000000000E+01	  -2.1680766158674783E+03	  -1.6422813934627109E+03	  -1.6356266660763588E+03	  -1.6355278357636985E+03	  -1.6355270543372974E+03	  -1.6355271131363088E+03	  -1.6355271443310080E+03	
  +9.6000000000000000E+01	  -2.2414209831352050E+03	  -1.7084156141876913E+03	  -1.7017344269656078E+03	  -1.7016345161028366E+03	  -1.7016337003326350E+03	  -1.7016337595362750E+03	  -1.7016337911496516E+03	
  +9.7000000000000000E+01	  -2.3092701340568724E+03	  -1.7701184094329042E+03	  -1.7633916719367037E+03	  -1.7632908399428559E+03	  -1.7632899903780647E+03	  -1.7632900499444193E+03	  -1.7632900819585900E+03	
  +9.8000000000000000E+01	  -2.3426714281720642E+03	  -1.7989104686259602E+03	  -1.7921234058495529E+03	  -1.7920217714123814E+03	  -1.7920208874027669E+03	  -1.7920209467001430E+03	  -1.7920209788065126E+03	
  +9.9000000000000000E+01	  -2.3784234289480514E+03	  -1.8308002520730906E+03	  -1.8239415370081060E+03	  -1.8238391875900356E+03	  -1.8238382699198403E+03	  -1.8238383290060835E+03	  -1.8238383612363175E+03	
  +1.0000000000000000E+02	  -2.4102193625376317E+03	  -1.8593403307712256E+03	  -1.8524014572090321E+03	  -1.8522984516892977E+03	  -1.8522975010178668E+03	  -1.8522975598569899E+03	  -1.8522975921963398E+03	
  +1.0100000000000000E+02	  -2.4460047029062689E+03	  -1.8922205403831699E+03	  -1.8851953567858145E+03	  -1.8850917311901160E+03	  -1.8850907485835191E+03	  -1.8850908073076178E+03	  -1.8850908398240724E+03	
  +1.0200000000000000E+02	  -2.4714372863746762E+03	  -1.9153764344343572E+03	  -1.9082607198003150E+03	  -1.9081564900889832E+03	  -1.9081554760783247E+03	  -1.9081555345252616E+03	  -1.9081555671413444E+03	
  +1.0300000000000000E+02	  -2.4939769016865207E+03	  -1.9361567575845513E+03	  -1.9289478685250490E+03	  -1.9288430358096889E+03	  -1.9288419912364650E+03	  -1.9288420493759718E+03	  -1.9288420820789684E+03	
  +1.0400000000000000E+02	  -2.4202859591894708E+03	  -1.8673508516167894E+03	  -1.8600474356170712E+03	  -1.8599419836016671E+03	  -1.8599409059109785E+03	  -1.8599409620093522E+03	  -1.8599409939448658E+03	
  +1.0500000000000000E+02	  -2.1772106113596856E+03	  -1.6583195200167465E+03	  -1.6509213648162406E+03	  -1.6508152682470616E+03	  -1.6508141550845826E+03	  -1.6508142075072160E+03	  -1.6508142378677417E+03	
  +1.0600000000000000E+02	  -1.7492594222685200E+03	  -1.2914893102267401E+03	  -1.2839982242386750E+03	  -1.2838914508807020E+03	  -1.2838902996319716E+03	  -1.2838903466090678E+03	  -1.2838903745176958E+03	
  +1.0700000000000000E+02	  -8.3978520853935947E+02	  -5.6033094904359245E+02	  -5.5275449415549610E+02	  -5.5264702734617549E+02	  -5.5264584112309626E+02	  -5.5264588368223258E+02	  -5.5264590963269802E+02	
  +1.0800000000000000E+02	  -1.3239900096981265E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
